card_id,card_name,card_class,subtype,metadata_resolved,dataset_dates,source_archives,games_with_card,decks_with_card,total_copies,min_copies_in_containing_deck,max_copies_in_containing_deck,first_dataset_date,last_dataset_date,per_date
1,Basic {G} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",7786,8957,22494,1,13,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":3173,""games_with_card"":2730,""total_copies"":7983},""2026-07-13"":{""decks_with_card"":2701,""games_with_card"":2403,""total_copies"":7216},""2026-07-14"":{""decks_with_card"":3083,""games_with_card"":2653,""total_copies"":7295}}"
2,Basic {R} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",845,856,3230,3,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":600,""games_with_card"":589,""total_copies"":2247},""2026-07-13"":{""decks_with_card"":227,""games_with_card"":227,""total_copies"":867},""2026-07-14"":{""decks_with_card"":29,""games_with_card"":29,""total_copies"":116}}"
3,Basic {W} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",2846,2967,18041,1,13,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":1274,""games_with_card"":1203,""total_copies"":5593},""2026-07-13"":{""decks_with_card"":910,""games_with_card"":871,""total_copies"":6846},""2026-07-14"":{""decks_with_card"":783,""games_with_card"":772,""total_copies"":5602}}"
4,Basic {L} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",9,9,18,2,2,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":6,""games_with_card"":6,""total_copies"":12},""2026-07-13"":{""decks_with_card"":2,""games_with_card"":2,""total_copies"":4},""2026-07-14"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":2}}"
5,Basic {P} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",10873,13840,32700,2,8,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":4362,""games_with_card"":3498,""total_copies"":11482},""2026-07-13"":{""decks_with_card"":4636,""games_with_card"":3643,""total_copies"":10452},""2026-07-14"":{""decks_with_card"":4842,""games_with_card"":3732,""total_copies"":10766}}"
6,Basic {F} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",2051,2142,7112,1,14,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":1139,""games_with_card"":1075,""total_copies"":4185},""2026-07-13"":{""decks_with_card"":584,""games_with_card"":567,""total_copies"":1747},""2026-07-14"":{""decks_with_card"":419,""games_with_card"":409,""total_copies"":1180}}"
7,Basic {D} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",4953,5419,42384,1,15,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":2057,""games_with_card"":1841,""total_copies"":12702},""2026-07-13"":{""decks_with_card"":1791,""games_with_card"":1652,""total_copies"":15614},""2026-07-14"":{""decks_with_card"":1571,""games_with_card"":1460,""total_copies"":14068}}"
8,Basic {M} Energy,energy,Basic Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",271,273,3492,10,14,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":117,""games_with_card"":115,""total_copies"":1494},""2026-07-13"":{""decks_with_card"":140,""games_with_card"":140,""total_copies"":1801},""2026-07-14"":{""decks_with_card"":16,""games_with_card"":16,""total_copies"":197}}"
11,Mist Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",6164,6765,27057,3,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":2430,""games_with_card"":2216,""total_copies"":9717},""2026-07-13"":{""decks_with_card"":2160,""games_with_card"":1967,""total_copies"":8640},""2026-07-14"":{""decks_with_card"":2175,""games_with_card"":1981,""total_copies"":8700}}"
12,Legacy Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",25,25,25,1,1,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":8,""games_with_card"":8,""total_copies"":8},""2026-07-13"":{""decks_with_card"":15,""games_with_card"":15,""total_copies"":15},""2026-07-14"":{""decks_with_card"":2,""games_with_card"":2,""total_copies"":2}}"
13,Enriching Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",9106,10921,10921,1,1,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":3360,""games_with_card"":2863,""total_copies"":3360},""2026-07-13"":{""decks_with_card"":3824,""games_with_card"":3139,""total_copies"":3824},""2026-07-14"":{""decks_with_card"":3737,""games_with_card"":3104,""total_copies"":3737}}"
14,Spiky Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",6011,6576,26278,3,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":2298,""games_with_card"":2109,""total_copies"":9186},""2026-07-13"":{""decks_with_card"":2103,""games_with_card"":1921,""total_copies"":8393},""2026-07-14"":{""decks_with_card"":2175,""games_with_card"":1981,""total_copies"":8699}}"
