effect_id,card_id,card_name,card_class,kind,ordinal,name,text,printed_cost,printed_damage,engine_source_path,engine_source_line_start,engine_source_line_end,engine_starter,engine_method_calls,engine_effect_tokens,generic_extraction,current_encoder,audit_status
card:11:energy_effect:0,11,Mist Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

Prevent all effects of attacks used by your opponent’s Pokémon done to the Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,71,76,energySkill,"[""energySkill"",""textEn"",""effectEnergyContinual"",""specialEnergy""]","[""NoEffectEnemyAttack""]","{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:12:energy_effect:0,12,Legacy Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides every type of Energy but provides only 1 Energy at a time.

If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokémon, that player takes 1 fewer Prize card. This effect of your Legacy Energy only works once per game.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,79,85,energySkill,"[""energySkill"",""textEn"",""triggerAttachedCard"",""effectAttachedPokemon"",""eVal"",""specialEnergy""]","[""TriggerType"",""KoEnemyAttackDamage"",""KoPrizeDecreaseOnce""]","{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:13:energy_effect:0,13,Enriching Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

When you attach this card from your hand to a Pokémon, draw 4 cards.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,88,93,attachSkill,"[""attachSkill"",""textEn"",""effectDraw"",""specialEnergy""]",[],"{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:14:energy_effect:0,14,Spiky Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,95,101,energySkill,"[""energySkill"",""textEn"",""triggerAttachedCard"",""effectTriggerObject"",""eVal"",""specialEnergy""]","[""TriggerType"",""DamagedEnemyAttackActive"",""DamageCounter""]","{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:15:energy_effect:0,15,Team Rocket's Energy,energy,energy_effect,0,n/a,"This card can only be attached to a Team Rocket’s Pokémon. If this card is attached to anything other than a Team Rocket’s Pokémon, discard this card.

As long as this card is attached to a Pokémon, it provides 2 in any combination of {P} Energy and {D} Energy.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,4185,4190,energySkill,"[""energySkill"",""textEn"",""specialEnergy"",""getCard""]",[],"{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:16:energy_effect:0,16,Prism Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Basic Pokémon, this card provides every type of Energy but provides only 1 Energy at a time.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,4192,4196,energySkill,"[""energySkill"",""textEn"",""specialEnergy""]",[],"{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:17:energy_effect:0,17,Ignition Energy,energy,energy_effect,0,n/a,"If this card is attached to 1 of your Pokémon, discard it at the end of your turn.

As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to an Evolution Pokémon, it provides {C}{C}{C} Energy instead.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,4198,4203,energySkill,"[""energySkill"",""textEn"",""trashMyTurnEnd"",""specialEnergy""]",[],"{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:18:energy_effect:0,18,Grow Grass Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {G} Energy.
The {G} Pokémon this card is attached to gets +20 HP.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,10390,10395,energySkill,"[""energySkill"",""textEn"",""effectEnergyContinual"",""eVal"",""targetEnergyType"",""specialEnergy""]","[""MaxHpChange"",""Grass""]","{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:19:energy_effect:0,19,Telepath Psychic Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {P} Energy.
When you attach this card from your hand to a {P} Pokémon, search your deck for up to 2 Basic {P} Pokémon and put them onto your Bench. Then, shuffle your deck.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,10397,10403,attachSkill,"[""attachSkill"",""textEn"",""exist"",""targetEnergyType"",""effectDeckToBenchAndShuffle"",""targetEnergyType"",""targetBasicPokemon"",""specialEnergy""]","[""Psychic"",""EnergyType""]","{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:20:energy_effect:0,20,Rock Fighting Energy,energy,energy_effect,0,n/a,"As long as this card is attached to a Pokémon, it provides {F} Energy.
Prevent all effects of attacks used by your opponent’s Pokémon done to the {F} Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,10405,10410,energySkill,"[""energySkill"",""textEn"",""effectEnergyContinual"",""targetEnergyType"",""specialEnergy""]","[""NoEffectEnemyAttack"",""Fighting""]","{""raw"":null,""status"":""no_current_general_parser""}","{""included"":false,""raw"":null,""reason"":""not represented""}",pending
card:31:attack:0,31,Chi-Yu,pokemon,attack,0,Allure,Draw 2 cards.,●,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,12561,12565,attack,"[""attack"",""textEn"",""setPostEffect"",""effectDraw""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":2,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":2,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:31:attack:1,31,Chi-Yu,pokemon,attack,1,Ground Melter,"If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium.",{R}●,60,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,12565,12573,attack,"[""attack"",""textEn"",""setPreEffect"",""existStadium"",""preEffectAttackDamageChange"",""setPostEffect"",""effectTrashStadium""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":60,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:42:attack:0,42,Applin,pokemon,attack,0,Find a Friend,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",●,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,12587,12591,attack,"[""attack"",""textEn"",""setPostEffect"",""effectDeckToHandAndShuffle"",""targetPokemonCard""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
